SURVEY,YEAR,SITE,TREATMENT,BLOCK,PLOT,SPECIES,ORIGINAL_TAG,NEW_TAG,DEAD,HEIGHT,AXIS_1,AXIS_2,CIRC,MEASUREMENT,STEMS
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,2.1,1.3,1.35,10.4,D,6
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,2.25,1.4,1.25,8.8,D,4
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,2.75,1.65,1.25,8,C,7
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,2.9,3.9,2.4,9,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,2.98,2.25,2.25,10,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,45,NA,N,1.4,0.9,1.2,8.2,D,5
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,45,NA,N,1.35,1.25,1.45,8.8,D,6
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,45,NA,N,1.8,1.4,1.55,11,C,9
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,45,NA,N,1.65,1.5,1.3,10,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,45,NA,Y,NA,NA,NA,NA,NA,NA
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,46,NA,N,1.15,1,1.05,3.1,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,46,NA,N,0.9,1.25,0.8,2.2,D,2
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,46,NA,N,1.35,1,0.95,4,C,3
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,46,NA,N,1.8,2,1.8,6,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,46,NA,N,2.42,1.8,1.8,4.5,D,2
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,1.9,4.3,2.1,3.7,D,12
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,2.29,4.15,3.45,5,D,13
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,2.9,3.7,4.4,7,C,NA
4,2012,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,3.4,3.7,3.4,8,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,NA,NA,N,3.51,4.3,4.4,5.5,D,6
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,48,NA,N,2.85,2.1,1.4,3.4,D,2
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,48,NA,N,3.42,2.05,2.45,4.2,D,2
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,48,NA,N,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,48,NA,N,6.41,4.7,5,7,D,2
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,49,NA,N,2.6,2.3,2.5,6.5,D,9
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,49,NA,N,2.8,2.95,2.85,6.8,D,5
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,49,NA,N,4,3.2,3.1,8,C,5
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,49,NA,N,4.24,4.2,4,8,D,5
1,2009,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,50,NA,N,2.45,2.3,1.8,3.3,D,3
2,2010,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,50,NA,N,2.85,2.1,1.95,3.5,D,4
3,2011,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,50,NA,N,3.65,2.9,3,6,C,7
5,2013,SOUTH,TOTAL,2,S2TOTAL,Acacia_brevispica,50,NA,N,4.45,3.75,3.55,7,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Croton,61,NA,N,2.2,2.8,3,11.7,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Croton,61,NA,N,2.4,2.6,3.4,11.9,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Croton,61,NA,N,2.3,3.15,2.8,15,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Croton,61,NA,N,2.4,4.2,3.4,16,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Croton,61,NA,N,2.58,3.8,4.7,15,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Croton,62,NA,N,1.9,1.9,1.4,5.1,D,3
2,2010,SOUTH,TOTAL,2,S2TOTAL,Croton,62,NA,N,1.95,2.1,1.65,3.9,D,3
3,2011,SOUTH,TOTAL,2,S2TOTAL,Croton,62,NA,N,2.19,1.8,2.2,9,C,5
5,2013,SOUTH,TOTAL,2,S2TOTAL,Croton,62,NA,N,3.13,3,3.9,7.5,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Croton,63,NA,N,0.65,0.65,0.4,3.1,D,4
2,2010,SOUTH,TOTAL,2,S2TOTAL,Croton,63,NA,N,0.6,0.65,0.5,2,D,4
3,2011,SOUTH,TOTAL,2,S2TOTAL,Croton,63,NA,N,0.71,0.7,0.75,4,C,6
4,2012,SOUTH,TOTAL,2,S2TOTAL,Croton,63,NA,N,1.2,1.2,1.1,5,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Croton,63,NA,N,1.67,1.75,2,5,D,1
1,2009,SOUTH,MEGA,2,S2MEGA,Croton,64,NA,N,2.17,2.36,3.15,26.1,D,1
2,2010,SOUTH,MEGA,2,S2MEGA,Croton,64,NA,N,2.35,3.3,4,12.6,D,2
3,2011,SOUTH,MEGA,2,S2MEGA,Croton,64,NA,N,2.45,3,4.1,26,D,1
4,2012,SOUTH,MEGA,2,S2MEGA,Croton,64,NA,N,2.25,4.3,3.4,27,C,1
5,2013,SOUTH,MEGA,2,S2MEGA,Croton,64,NA,N,2.05,3.9,4.1,17,D,1
1,2009,SOUTH,MEGA,2,S2MEGA,Croton,65,NA,N,0.5,0.23,0.19,3.3,D,3
2,2010,SOUTH,MEGA,2,S2MEGA,Croton,65,NA,N,NA,NA,NA,NA,NA,NA
5,2013,SOUTH,MEGA,2,S2MEGA,Croton,65,NA,NA,NA,NA,NA,NA,NA,NA
1,2009,SOUTH,TOTAL,2,S2TOTAL,Balanites,81,NA,N,2.4,2.1,2,8.2,D,2
2,2010,SOUTH,TOTAL,2,S2TOTAL,Balanites,81,NA,N,2.45,2.1,2,10.9,D,2
3,2011,SOUTH,TOTAL,2,S2TOTAL,Balanites,81,NA,N,2.9,2.65,2.55,18,C,2
4,2012,SOUTH,TOTAL,2,S2TOTAL,Balanites,81,NA,N,3.15,3,2.4,15,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Balanites,81,NA,N,3.1,4,3.8,13,D,2
1,2009,SOUTH,TOTAL,2,S2TOTAL,Balanites,82,NA,N,4,2.4,2.2,16.7,D,2
2,2010,SOUTH,TOTAL,2,S2TOTAL,Balanites,82,NA,N,4,3.01,2.7,18.8,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Balanites,82,NA,N,3,2,2.35,27,C,2
4,2012,SOUTH,TOTAL,2,S2TOTAL,Balanites,82,NA,N,4.85,3.8,4.4,26,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Balanites,82,NA,N,5.78,4.4,3.9,24,D,2
1,2009,SOUTH,TOTAL,2,S2TOTAL,Balanites,83,NA,N,2.55,3.1,3.4,21.6,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Balanites,83,NA,N,3.9,3.6,3.1,22.2,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Balanites,83,NA,N,4.55,2.2,2.5,27,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Balanites,83,NA,N,4,3.5,3.2,27,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Balanites,83,NA,N,4.55,5.9,4.25,27.5,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Balanites,84,NA,N,3.7,4.65,2.78,28.3,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Balanites,84,NA,N,3.8,4.1,4.35,75,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Balanites,84,NA,N,3.75,5.2,3.9,65,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Balanites,84,NA,N,3.88,4.5,6.5,75,C,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Balanites,85,NA,N,1.5,1,0.75,6.2,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Balanites,85,NA,N,1.6,1.2,1.01,6.7,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Balanites,85,NA,N,1.9,1.55,1.65,15,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Balanites,85,NA,N,2.15,2,1.9,17,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Balanites,85,NA,N,2.23,2.15,2.7,13,D,1
1,2009,SOUTH,TOTAL,2,S2TOTAL,Balanites,86,NA,N,1,0.65,0.4,11.4,D,1
2,2010,SOUTH,TOTAL,2,S2TOTAL,Balanites,86,NA,N,0.93,1.91,0.87,10.9,D,1
3,2011,SOUTH,TOTAL,2,S2TOTAL,Balanites,86,NA,N,1.15,1.5,1.65,12,C,1
4,2012,SOUTH,TOTAL,2,S2TOTAL,Balanites,86,NA,N,1.65,2.7,2,10,C,1
5,2013,SOUTH,TOTAL,2,S2TOTAL,Balanites,86,NA,N,2.37,1.9,2.85,8,D,1
2,2010,SOUTH,MEGA,2,S2MEGA,Balanites,87,NA,N,0.23,0.3,0.3,4.7,D,1
3,2011,SOUTH,MEGA,2,S2MEGA,Balanites,87,NA,N,0.3,0.6,0.45,0.7,C,1
4,2012,SOUTH,MEGA,2,S2MEGA,Balanites,87,NA,N,0.35,0.65,0.45,6,C,1
5,2013,SOUTH,MEGA,2,S2MEGA,Balanites,87,NA,N,0.3,0.55,0.3,9,D,1
1,2009,SOUTH,MEGA,2,S2MEGA,Balanites,88,NA,N,0.6,0.8,0.75,4,D,13
2,2010,SOUTH,MEGA,2,S2MEGA,Balanites,88,NA,N,0.58,0.6,0.7,4,D,16
3,2011,SOUTH,MEGA,2,S2MEGA,Balanites,88,NA,N,0.6,0.75,0.7,6,C,1
4,2012,SOUTH,MEGA,2,S2MEGA,Balanites,88,NA,N,0.6,0.68,0.5,NA,NA,1
5,2013,SOUTH,MEGA,2,S2MEGA,Balanites,88,NA,N,0.6,0.7,0.65,2,D,1
1,2009,SOUTH,MEGA,2,S2MEGA,Balanites,89,NA,N,2.62,1.65,2,11.2,D,2
2,2010,SOUTH,MEGA,2,S2MEGA,Balanites,89,NA,N,2.9,2.4,1.8,12.3,D,2
3,2011,SOUTH,MEGA,2,S2MEGA,Balanites,89,NA,N,3.12,2.15,2.4,13,C,2
4,2012,SOUTH,MEGA,2,S2MEGA,Balanites,89,NA,N,3.3,3,2.2,15,C,1
5,2013,SOUTH,MEGA,2,S2MEGA,Balanites,89,NA,N,3.25,3.1,2.8,15.5,D,2
1,2009,SOUTH,MEGA,2,S2MEGA,Balanites,90,NA,N,1.1,1.1,1.05,8.2,D,1
2,2010,SOUTH,MEGA,2,S2MEGA,Balanites,90,NA,N,1.2,1,0.95,7.7,D,1
3,2011,SOUTH,MEGA,2,S2MEGA,Balanites,90,NA,N,1.45,1,1.1,19,C,1
4,2012,SOUTH,MEGA,2,S2MEGA,Balanites,90,NA,N,1.45,1.4,1.3,11,C,1
5,2013,SOUTH,MEGA,2,S2MEGA,Balanites,90,NA,N,2.47,1.4,1.6,16.5,D,1
1,2009,SOUTH,MEGA,2,S2MEGA,Balanites,91,NA,N,2.25,1.4,1.25,14.7,D,2
2,2010,SOUTH,MEGA,2,S2MEGA,Balanites,91,NA,N,2.55,1.75,1.3,11.4,D,1
3,2011,SOUTH,MEGA,2,S2MEGA,Balanites,91,NA,N,2.78,2,2,21,C,1
4,2012,SOUTH,MEGA,2,S2MEGA,Balanites,91,NA,N,3.15,2.3,2.1,23,C,1
5,2013,SOUTH,MEGA,2,S2MEGA,Balanites,91,NA,N,3.27,2.6,2.3,23.5,D,1
1,2009,SOUTH,MEGA,2,S2MEGA,Balanites,92,NA,N,1.58,0.77,0.95,6.7,D,2
2,2010,SOUTH,MEGA,2,S2MEGA,Balanites,92,NA,N,1.7,1.3,1.1,5.4,D,1
3,2011,SOUTH,MEGA,2,S2MEGA,Balanites,92,NA,N,2.2,2,2.05,9,C,1
