SpCode	Name	Author	Synonym	Family	Habit	Pheno	WGEnd
Dalbpani	Dalbergia paniculata	Roxb.	NA	Fabaceae	T3	D	0
Debrlong	Debregeasia longifolia	(N. Burman) Wedd.	NA	Urticaceae	T1	E	0
Derrscan	Derris scandens	(Roxb.) Benth.	NA	Fabaceae	L	E	0
Desmlawi	Desmos lawii	(J. Hk. & Th.) Safford.	NA	Annonaceae	L	E	0
Desmpulc	Desmodium pulchellum	(L.) Benth.	NA	Fabaceae	S	D	0
Dichgelo	Dichapetalum gelonioides	(Roxb.) Engl.	NA	Dichapetalaceae	T1	E	0
Dillpent	Dillenia pentagyna	Roxb.	NA	Dilleniaceae	T3	D	0
Dimolawi	Dimorphocalyx lawianus	J. Hk.	NA	Euphorbiaceae	T1	E	1
Dimolong	Dimocarpus longan	Lour.	NA	Sapindaceae	T4	E	0
Diosangu	Diospyros angustifolia	(Miq.) Kosterm.	NA	Ebenaceae	T2	E	1
Diosassi	Diospyros assimilis	Bedd.	NA	Ebenaceae	T4	E	1
Diosbuxi	Diospyros buxifolia	(Bl.) Hiern	NA	Ebenaceae	T4	E	0
Dioscand	Diospyros candolleana	Wt.	NA	Ebenaceae	T3	E	1
Dioscrum	Diospyros crumenata	Thw.	NA	Ebenaceae	T2	E	0
Diosghat	Diospyros ghatensis	Ramesh & De Franceschi	NA	Ebenaceae	T4	E	1
Diosmala	Diospyros malabarica	(Desr.) Kostel.	NA	Ebenaceae	T2	E	0
Diosmela	Diospyros melanoxylon	Roxb.	NA	Ebenaceae	T2	D	0
Diosmont	Diospyros montana	Roxb.	NA	Ebenaceae	T2	D	0
Diosooca	Diospyros oocarpa	Thw.	NA	Ebenaceae	T3	E	0
Diospani	Diospyros paniculata	Dalz.	NA	Ebenaceae	T2	E	1
Diospyrr	Diospyros pyrrhocarpoides	Ramesh & De Franceschi	NA	Ebenaceae	T2	E	0
Diossald	Diospyros saldanhae	Kosterm.	NA	Ebenaceae	T2	E	1
Diossylv	Diospyros sylvatica	Roxb.	NA	Ebenaceae	T4	E	0
Diplglau	Diploclisia glaucescens	(Bl.) Diels	NA	Menispermaceae	L	E	0
Diptindi	Dipterocarpus indicus	Bedd.	NA	Dipterocarpaceae	T5	E	1
Dodovisc	Dodonaea viscosa	(L.)Jacq	NA	Sapindaceae	S	E	0
Doliatro	Dolichandrone atrovirens	Sprague	NA	Berberidaceae	T1	D	0
Dolifalc	Dolichandrone falcata	Seem.	NA	Berberidaceae	T1	D	0
Drypconf	Drypetes confertiflorus	(J. Hk.) Pax & Hoffm.	NA	Euphorbiaceae	T3	E	1
Drypoblo	Drypetes oblongifolia	(Bedd.) Airy Shaw	NA	Euphorbiaceae	T2	E	1
Drypvenu	Drypetes venusta	(Wt.) Pax & Hoffm.	NA	Euphorbiaceae	T3	E	1
Dysobine	Dysoxylum binectariferum	J. Hk. ex Bedd.	Ecbolium linneanum	Meliaceae	T3	E	0
Dysomala	Dysoxylum malabaricum	Bedd. ex Hiern.	NA	Meliaceae	T4	E	1
Ehrelaev	Ehretia laevis	Roxb.	NA	Boraginaceae	T1	E	0
Elaekolo	Elaeagnus kologa	Schlecht.	NA	Elaeagnaceae	L	E	0
Elaemunr	Elaeocarpus munronii	(Wt.) Mast.	NA	Elaeocarpaceae	T2	E	1
Elaeserr	Elaeocarpus serratus	L.	NA	Elaeocarpaceae	T3	E	0
Elaetect	Elaeocarpus tectorius	(Lour.) Poir.	NA	Elaeocarpaceae	T3	E	0
Elaetube	Elaeocarpus tuberculatus	Roxb.	NA	Elaeocarpaceae	T4	E	0
Emberibe	Embelia ribes	N.Burman	NA	Myrsinaceae	L	E	0
Embloffi	Emblica officinalis	Gaertn.	NA	Euphorbiaceae	T1	D	0
Entapurs	Entada pursaetha	DC	NA	Fabaceae	L	E	0
Epipmall	Epiprinus mallotiformis	(M. Arg.) Croizat.	NA	Euphorbiaceae	T3	E	0
Erytstri	Erythrina stricta	Roxb.	NA	Fabaceae	T2	E	0
Eucaglob	Eucalyptus globulus	Labill.	NA	Myrtaceae	T3	E	0
Eugemacr	Eugenia macrosepala	Duthie	NA	Myrtaceae	T2	E	0
Eugethwa	Eugenia thwaitesii	Duthie	Eugenia moonina	Myrtaceae	T2	E	0
Euodlunu	Euodia lunu-ankenda	(Gaertn.) Merr.	NA	Rutaceae	T2	E	0
Euonindi	Euonymus indicus	Heyne ex Wall.	NA	Celastraceae	T1	E	1
Euryjapo	Eurya japonica	Thunb.	NA	Theaceae	T1	E	0
Fagrceil	Fagraea ceilanica	Thunb.	NA	Loganiaceae	T1	E	0
Fahrzeyl	Fahrenheitia zeylanica	(Thw.) Airy Shaw	NA	Euphorbiaceae	T3	E	0
Ficuampl	Ficus amplissima	J. E. Sm.	NA	Moraceae	T2	E	0
Ficuarno	Ficus arnottiana	Miq.	NA	Moraceae	T2	D	0
Ficubedd	Ficus beddomei	King	NA	Moraceae	T4	E	1
Ficubeng	Ficus benghalensis	L.	NA	Moraceae	T3	E	0
Ficucall	Ficus callosa	Willd.	NA	Moraceae	T3	E	0
Ficudrup	Ficus drupacea	Thunb.	NA	Moraceae	T3	E	0
Ficuexas	Ficus exasperata	Vahl.	NA	Moraceae	T2	E	0
Ficugibb	Ficus gibbosa	Bl.	NA	Moraceae	T1	E	0
Ficuhisp	Ficus hispida	L. f.	NA	Moraceae	T1	E	0
Ficumicr	Ficus microcarpa	L. f.	NA	Moraceae	T3	E	0
Ficunerv	Ficus nervosa	Roth	NA	Moraceae	T4	E	0
Ficurace	Ficus racemosa	L.	NA	Moraceae	T2	E	0
Ficureli	Ficus religiosa	L.	NA	Moraceae	T2	D	0
Ficutalb	Ficus talbotii	Heyne ex Roth	NA	Moraceae	T3	E	0
Ficutsja	Ficus tsjahela	N. Burman	NA	Moraceae	T3	D	0
Ficuvire	Ficus virens	Ait.	NA	Moraceae	T4	E	0
Flacindi	Flacourtia indica	(Burm. f ) Merr.	NA	Flacourtiaceae	T1	E	0
Flacmont	Flacourtia montana	Grah.	NA	Flacourtiaceae	T1	E	1
Flemmacr	Flemingia macrophylla	(Willd.) Merr.	NA	Fabaceae	S	D	0
